datum,mesto,naslov,sifra_umetnika
2015-01-11,1,"December, 2014 (The Winter`s Tale)",352301
2015-01-11,2,LUV,343777
2015-01-11,3,울면 안 돼,343790
2015-01-11,4,UP & DOWN,235496
2015-01-11,5,At Gwanghwamun,386080
2015-01-11,6,Angel,232559
2015-01-11,7,Like a Cat,
2015-01-11,8,GOOD BOY,
2015-01-11,9,세 사람 (With 성시경),232552
2015-01-11,10,Cheer Up,234119
2015-01-18,1,UP & DOWN,235496
2015-01-18,2,LUV,343777
2015-01-18,3,At Gwanghwamun,386080
2015-01-18,4,"December, 2014 (The Winter`s Tale)",352301
2015-01-18,5,Love Is... (3+3=0),232551
2015-01-18,6,Like a Cat,
2015-01-18,7,Angel,232559
2015-01-18,8,Cheer Up,234119
2015-01-18,9,(`Cause) I’m Your Girl,232582
2015-01-18,10,GOOD BOY,
2015-01-25,1,UP & DOWN,235496
2015-01-25,2,LUV,343777
2015-01-25,3,At Gwanghwamun,386080
2015-01-25,4,Un-fateful Meeting,232646
2015-01-25,5,Deja-Boo (feat. Zion.T),238373
2015-01-25,6,Voice / 목소리,375926
2015-01-25,7,Fire,237697
2015-01-25,8,Like a Cat,
2015-01-25,9,Poison,232550
2015-01-25,10,Love Is... (3+3=0),232551
2015-02-01,1,Deja-Boo (feat. Zion.T),238373
2015-02-01,2,Fire,237697
2015-02-01,3,Voice,375926
2015-02-01,4,UP & DOWN,235496
2015-02-01,5,LUV,343777
2015-02-01,6,At Gwanghwamun,386080
2015-02-01,7,Un-fateful Meeting,232646
2015-02-01,8,Like a Cat,
2015-02-01,9,Cheer Up,234119
2015-02-01,10,Crazy (Guilty Pleasure) (Feat. 아이언),238373
2015-02-08,1,One Fine Day,
2015-02-08,2,Crying Again,365474
2015-02-08,3,Deja-Boo (feat. Zion.T),238373
2015-02-08,4,Fire,237697
2015-02-08,5,UP & DOWN,235496
2015-02-08,6,Voice,375926
2015-02-08,7,LUV,343777
2015-02-08,8,Sorry I’m Happy,365474
2015-02-08,9,At Gwanghwamun,386080
2015-02-08,10,You,
2015-02-15,1,Crying Again,365474
2015-02-15,2,Pretty,
2015-02-15,3,One Fine Day,
2015-02-15,4,UP & DOWN,235496
2015-02-15,5,Deja-Boo (feat. Zion.T),238373
2015-02-15,6,Fire,237697
2015-02-15,7,Sorry I’m Happy,365474
2015-02-15,8,Voice,375926
2015-02-15,9,DRAMA,234778
2015-02-15,10,LUV,343777
2015-02-22,1,One Fine Day,
2015-02-22,2,Just,
2015-02-22,3,Crying Again,365474
2015-02-22,4,Pretty,
2015-02-22,5,You From That Same Time Period,233163
2015-02-22,6,UP & DOWN,235496
2015-02-22,7,Fire,237697
2015-02-22,8,Voice,375926
2015-02-22,9,Sorry I’m Happy,365474
2015-02-22,10,LUV,343777
2015-03-08,1,Love Killer (Feat. Dok2),238441
2015-03-08,2,You From That Same Time Period,233163
2015-03-08,3,Crazy,234117
2015-03-08,4,SHAKE THAT BRASS (Feat. Taeyeon),238442
2015-03-08,5,Just,
2015-03-08,6,UP & DOWN,235496
2015-03-08,7,Crying Again,365474
2015-03-08,8,Fire,237697
2015-03-08,9,Love is Madness,236486
2015-03-08,10,LUV,343777
2015-03-15,1,Love Equation,
2015-03-15,2,You From That Same Time Period,233163
2015-03-15,3,Crazy,234117
2015-03-15,4,UP & DOWN,235496
2015-03-15,5,Just,
2015-03-15,6,Crying Again,365474
2015-03-15,7,Love Killer (Feat. Dok2),238441
2015-03-15,8,Love is Madness,236486
2015-03-15,9,Fire,237697
2015-03-15,10,LUV,343777
2015-03-22,1,Target,232571
2015-03-22,2,Flower (feat. Tablo),235976
2015-03-22,3,Love Equation,
2015-03-22,4,You From That Same Time Period,233163
2015-03-22,5,Crazy,234117
2015-03-22,6,UP & DOWN,235496
2015-03-22,7,Just,
2015-03-22,8,Crying Again,365474
2015-03-22,9,Love is Madness,236486
2015-03-22,10,Voice,375926
2015-03-29,1,Growing Pains,345741
2015-03-29,2,Target,232571
2015-03-29,3,You From That Same Time Period,233163
2015-03-29,4,UP & DOWN,235496
2015-03-29,5,Cherry Blossom Ending,235714
2015-03-29,6,Crazy,234117
2015-03-29,7,BOUNCE,235172
2015-03-29,8,Love Equation,
2015-03-29,9,Apple (Feat. Jay Park),234840
2015-03-29,10,Flower (feat. Tablo),235976
2015-04-05,1,Ice Cream Cake,354121
2015-04-05,2,I'm A Woman Too,238495
2015-04-05,3,Snow In April,234863
2015-04-05,4,Cherry Blossom Ending,235714
2015-04-05,5,Apple (Feat. Jay Park),234840
2015-04-05,6,Target,232571
2015-04-05,7,Two Loves,365474
2015-04-05,8,You From That Same Time Period,233163
2015-04-05,9,Paradise Lost,234840
2015-04-05,10,UP & DOWN,235496
2015-04-12,1,PRAY,379052
2015-04-12,2,Ice Cream Cake,354121
2015-04-12,3,Two Loves,365474
2015-04-12,4,Cherry Blossom Ending,235714
2015-04-12,5,Snow In April,234863
2015-04-12,6,Growing,233394
2015-04-12,7,Apple (Feat. Jay Park),234840
2015-04-12,8,Tree Lined Streets At Dawn (With Song Yoo-bin),378184
2015-04-12,9,I'm A Woman Too,238495
2015-04-12,10,You From That Same Time Period,233163
2015-04-19,1,CALL ME BABY,352301
2015-04-19,2,Only You,234704
2015-04-19,3,Cherry Blossom Ending,235714
2015-04-19,4,Two Loves,365474
2015-04-19,5,Snow In April,234863
2015-04-19,6,Ice Cream Cake,354121
2015-04-19,7,Growing,233394
2015-04-19,8,Tree Lined Streets At Dawn (With Song Yoo-bin),378184
2015-04-19,9,You From That Same Time Period,233163
2015-04-19,10,Not Spring Love Or Cherry Blossoms,
2015-04-26,1,CALL ME BABY,352301
2015-04-26,2,Only You,234704
2015-04-26,3,Shine Your Light,364567
2015-04-26,4,Cherry Blossom Ending,235714
2015-04-26,5,Spring Breeze (Feat. Naul),233291
2015-04-26,6,Two Loves,365474
2015-04-26,7,Ice Cream Cake,354121
2015-04-26,8,Snow In April,234863
2015-04-26,9,Growing,233394
2015-04-26,10,You From That Same Time Period,233163
2015-05-03,1,CALL ME BABY,352301
2015-05-03,2,Only You,234704
2015-05-03,3,Who’s Your Mother,390817
