sifra_umetnika,ime_umetnika,biografija,debut,tip
277428,BIGBANG,"Big Bang is a South Korean band formed by YG Entertainment. The quintet debuted in 2006 with their formation being documented on TV. The group is often cited as one of the most influential K-pop acts in the industry that helped to spread the Korean Wave internationally. The group has sold over 150 million records, making them one of the biggest-selling boy-bands in the world. The group also holds a record of 18 number-one tracks that have collectively remained at the top of one of Korea’s biggest online music services for 51 weeks. Forbes Korea ranked them as one of the most powerful celebrities in South Korea in 2010, 2012, 2013, 2014, and 2016. They were also the first Korean artists to enter Forbes' Celebrity 100 and the 30 under 30 list of most influential musicians in the world, in 2016 and 2017, respectively.",2006,SO
364940,TWICE,"Twice is a multi-national girl group formed by JYP Entertainment through a reality show which aired in 2015. The group has nine members: Nayeon, Jeongyeon, Momo, Sana, Jihyo, Mina, Dahyun, Chaeyoung, and Tzuyu. The group debuted with the EP &ldquo;The Story Begins&rdquo; on October 20, 2015. Twice rose to fame in 2016 with their single &ldquo;Cheer Up&rdquo; which charted at number 1 on the Gaon Digital Chart and became the best-performing single of the year. The group also made their official Japanese debut on June 28, 2017 under Warner Music Japan with the release of their first compilation album #TWICE. The album sold over 260,000 copies in less than two months earning it a Platinum certification by the Recording Industry Association of Japan.",2015,SK
404858,Heize,"Heize (Jang Da-hye) is a singer, rapper, songwriter and producer. She is currently under the P Nation label owned by Psy. Heize debuted in 2014 with the EP &ldquo;Heize&rdquo; and gained attention after appearing in the 2nd season of the reality competition show &ldquo;Unpretty Rapstar.&rdquo; Heize released her seventh EP, &ldquo;Happen,&rdquo; in May 2021, and it was her first album to be released under the P Nation label.",2014,SO
345359,SEVENTEEN,"Seventeen (also stylized as SVT) is a South Korean boy group which debuted under Pledis Entertainment in 2015. The group has 13 members and they are divided into three sub-units specializing in hip hop, vocals and performance. The group&rsquo;s members are known for their composition skills and choreography which has earned them the nickname, &ldquo;self-producing&rdquo; idol group.",2015,SK
353617,MAMAMOO,"Mamamoo is a South Korean girl group formed by Rainbow Bridge World in 2014. The group officially debuted on June 19, 2014 with the song &quot;Mr. Ambiguous&quot;. Their debut was considered as one of the best K-pop debuts of 2014 by some critics and the group is recognized for their retro, jazz and R&amp;B concepts as well as strong vocal performances.",2014,SK
239505,Jeong seung-hwan,"Jung Seung-hwan was a contestant on the popular talent search TV program ""K-Pop Star"" season 4. He didn't win first place, but came just shy, in second place.     Jung's covers on the program ""K-Pop Star"" peaked at number 1 on the major music charts in Korea. He went on to sign with Antenna Music at the end of the TV show. He participated on various soundtracks for Korean dramas.     He eventually released his own album in 2016. It did extremely well with the title song ""The Fool"" ranking at the top tier of the charts.",,SO
235173,B1A4,"Like many idol groups, B1A4 sought to come up with a name that was unique and catchy. In an industry where all idol group names have some sort of significance or meaning, B1A4 was no exception. It represented the members' blood types as there are four of them with type A blood and one member with type B (Ba-ro). Another meaning was that it stood for ""Be The One, All For One"".     The group was introduced via webtoons for their debut album which was a fusion of pop and rock. One member in particular was highlighted by the agency, the leader of the group: Jin-young. Jin-young is trained in singing, acting, and composing. In fact, the agency had announced before the group's debut that B1A4's first EP album will include a song composed and written by him.    Just two months after they finally daebuted, offers for commercials were already coming in. They decided to sign with a couple of Korean beverage companies.    Following their title track ""O.K."", the guys started promoting ""Only Learned Bad Things"" which also garnered a positive response.    B1A4 came to win their first TV music show trophy in 2013 with the highly successful song ""What's Going On"". They maintained a very steady flow of success with their following releases which included songs like Lonely, Solo Day, Sweet Girl, and A Lie.    The group members also branched out to acting, Some of the most successful acting endeavors include Baro in ""Reply 1994"" and Jinyoung in ""Moonlight Drawn By Clouds"".",2011,SO
369146,Sejeong,Sejeong (born Kim Se-jeong) is a singer and actress who debuted through the audition program Produce 101. She is best known for becoming the runner up contestant on the show and consequently a member of the project group I.O.I. She is now a member of girl group Gugudan and its subgroup Gugudan Semina. She has also released a solo album in 2020.,2016,SO
239348,Bolbbalgan4 (Bolbbalgan Sa-chun-gi),BOL4 (also known as Bolbbalgan4 or Blushing Youth) is a South Korean indie pop duo which debuted in 2016. The name of the group literally means &ldquo;red-cheeked adolescent&rdquo; in Korean. The group appeared in the reality audition show Superstar K6 in 2014 before officially debuting with the single &ldquo;Fight Day&rdquo; from their mini-album &ldquo;Red Ickle&rdquo;.,2016,SK
238373,Jonghyun,"Jonghyun is one of the members of the popular SM Entertainment idol group SHINee. Known for their ""shiny"", bright, pop, upbeat image, Jonghyun showed a new side to himself through his solo debut in 2015.    Already having built a small reputation for having written and produced songs for other singers, Jonghyun put together his songwriting talents and singing skills. Having a much strong hip hop and R&B flair, Jonghyun debuted the two title tracks ""Deja-Boo"" and ""Crazy (Guilty Pleasure)"".",2008,SO
237697,Mad Clown,"Mad Clown is a rapper who is known for not only his rapping talents, but good looks as well.    Though he debuted in 2008, he hadn't really been noticed by the mainstream public until  he took part in the reality hip hop/rapping competition show ""Show Me The Money 2"". He rode on this popularity high soon after with his release ""Stupid In Love"" featuring Soyu of SISTAR. The song was incredibly successful, proving itself as one of the biggest sleeper hits of the year 2013. He followed that up with an album in 2014, with special featured singers like Hyorin and rapper  Crucial Star.    Mad Clown is also known for his project groups that he took part in. Some of his collaborations include working with Justhis for the duo Common Cold and Crucial Star for Mad Clown vs. Crucial Star.",2008,SO
375926,Noel,"The group Noel debuted in 2002 under JYP Entertainment with the title of the world&rsquo;s first &ldquo;mobile&rdquo; group. The group went into temporary hiatus around 2007 due to the members having to serve their mandatory military service, but made a comeback in 2011 with the EP &ldquo;Longing&rdquo;.",2002,SK
235496,EXID,"Exceed In Dreaming. That is what EXID stands for. And that's exactly what the six members hope to do.     Considered to have the Midas hand when it comes to creating kpop, song composer Shinsadong Tiger has released his very own girl group. Having revealed two of the members (LE & Jung-hwa) through Huhgak's music video for ""Every Time I Play That Song"", fans have been awaiting for their official debut. They finally released their first debut song after all the hype in February of 2012.     The girls claim that they're different from the other idol groups in terms of their training background. Shinsadong Tiger gives them creative freedom with a very loose training system. He asks the girls in fact, for who they want as their dance or vocal instructors. This allows for more of each of the members' individual flavors and styles to come into play, hopefully to impress the kpop industry.",2012,SO
343777,A-Pink,"Apink is a South Korean girl group which debuted in April 2011 with the mini album, &ldquo;Seven Spring of Apink&rdquo;. The group&rsquo;s members include Park Cho-rong, Yoon Bo-mi, Jung Eun-ji, Son Na-eun, Kim Nam-joo and Oh Ha-young. Hong Yoo-kyung left the group in April 2013 to focus on her studies. To date, Apink has won more than 30 music awards and 32 music program awards. In October 2014, Apink released their first Japanese-language single, &ldquo;NoNoNo,&rdquo; and has since released three Japanese studio albums.",2011,SK
386080,Kyuhyun,"Kyuhyun (born Cho Kyu-hyun) is a singer, musical theater actor and television host. He debuted as a member of the group Super Junior in 2006. Apart from Super Junior, he is also part of Super Junior subunits KRY and M, as well as SM Entertainment&rsquo;s project group, SM the Ballad. Kyuhyun has also established himself as a musical star and emcees various TV shows. He debuted as a solo artist in 2014 with &ldquo;At Gwanghwamun,&rdquo; making him the first Super Junior member to make a solo debut.",2006,SO
232646,Kim Gun-mo,"Kim Gun-mo debuted in 1992 with his first album entitled ‘Sleepless on a Rainy Night.’ Kim’s love for composing music goes back decades to his childhood. It was during his final year in middle school that he became interested in popular music. He studied traditional Korean music at the Seoul Institute of the Arts and began his music career while serving his military duties in the navy. After his military service, Kim met music director Kim Chang-wan who opened the road to Kim’s official debut. Kim’s debut album entitled ‘Sleepless on a Rainy Night’ was released in 1992, which sold a million copies, and his next album entitled ‘Excuses’ brought about a reggae boom in Korea. His third album ‘Wrongful Meeting’ sold a record 3.3 million copies and set a record in the local music industry. The album also earned him a spot in the Guinness Book of World Records. It was around this time that Koreans began referring to Kim as a ‘national singer.’ Kim’s 4th studio album entitled ‘Exchange (1996)’ was another success, the result of Kim’s relentless effort to experiment with different styles of music. His follow-up album ‘Myself(1998)’ also sold a million copies even amidst the recession in the music industry caused by the economic crisis. Kim’s 6th album entitled ‘Growing(1999)’ was, surprisingly, a flop. It’s lack of success didn’t stop Kim from producing another album two years later entitled ‘Another Days,’ which was a success among a wide range of age groups. Kim has sold over 487,000 copies of latest album ‘Hestory(2003)’ to date, making it the most popular record of the year.",1992,SO
234119,Hong Jin-young,"The new generation of trot, or traditional K-pop, starts with Hong Jin-young. Cute and vivacious, Hong takes the most beloved music genre of Korean adults and gives it a little twist to make it appealing to all age groups. She has invested two years of hard work into releasing this single album and launching her solo career. Her determination and hard work are paying off as the song is rising in popularity, which pleases this ambitious young singer who wants to become the next trot diva.",,SO
344897,Zico,"ZICO is the leader of the boy group Block B and a multi-talented rapper, producer and singer/songwriter. He is especially known for his ability to maintain an underground reputation along with mainstream appeal as an idol star and also for his successful crossover skills in the Korean hip hop scene. He has made appearances in the rap competition cable show &ldquo;Show Me the Money.&rdquo;",2011,SO
354121,Red Velvet,"Red Velvet is a South Korean girl group under SM Entertainment comprised of members Joy, Seulgi, Wendy, Yeri and Joy. The group debuted in August 2014 with the digital single, &ldquo;Happiness.&rdquo; The group has enjoyed a considerable amount of success and recognition since their debut with their first EP and made their Japanese debut in 2018. Regarded as one of the most popular K-pop groups worldwide by Time and Billboard, Red Velvet has received several awards for music, choreography, and popularity..",2014,SK
350612,IU,"IU is a South Korean singer-songwriter and actress who debuted under then LOEN Entertainment in 2008. She achieved national stardom through the song &ldquo;Good Day&rdquo; from her 2010 album &ldquo;Real&rdquo;. Aside from her music career, IU has also hosted radio and TV shows and acted, starring in hit dramas such as &ldquo;You&rsquo;re the Best, Lee Soon-shin,&rdquo; and &ldquo;The Producers&rdquo; etc.",2008,SO
380536,Moon Byul,"Moon Byul-yi, better known as Moonbyul, is a Korean rapper, singer, songwriter and actress. She is the main rapper of the girl group Mamamoo. She made her debut as a solo artist in May 2018, releasing the digital single, &ldquo;Selfish&rdquo;.",2014,SO
372941,AKMU,"AKMU (Akdong Musician) is a South Korean sibling duo made up of Lee Chan-hyuk and Lee Su-hyun. The group debuted under YG Entertainment in 2014 with the studio album &ldquo;Play&rdquo; after winning the K-pop audition show &ldquo;K-pop Star Season 2&rdquo;. The album was awarded &quot;Best Pop Album&quot; in the 12th Korean Music Awards. In September 2019, the duo returned with their third studio album &ldquo;Sailing&rdquo; with the lead single, &ldquo;How Can I Love the Heartbreak, You&rsquo;re the One I Love&rdquo;. On July 26, 2021, the group&rsquo;s 2nd EP &ldquo;Next Episode&rdquo; was released featuring collaborations with prominent artists such as IU and Lee Sun-hee.",2012,SK
357139,GFriend,"GFRIEND is a six-member Korean girl group that debuted under Source Music in Jan. 2015 with the EP &ldquo;Season of Glass.&rdquo; The group&rsquo;s members include Sowon, Yerin, Eunha, Yuju, SinB and Umji. The group released its first full-length album &ldquo;LOL&rdquo; in July 2016 and released their 2nd full length album, &ldquo;Time for Us,&rdquo; in Jan. 2019. In February 2020, GFriend released their eight EP, 回:Labyrinth.",2015,SK
360792,Baek Ye-rin,"Baek Yerin is a South Korean singer and songwriter. After auditioning for JYP Entertainment, she spent five years as a trainee and was called &ldquo;genius girl&rdquo; for her vocal talent, skills in using the piano and English fluency. She debuted as a member of the teen duo 15&amp; in 2012 but the group disbanded after Park left JYP Entertainment four years later. She debuted as a solo artist with her first mini album, &ldquo;Frank,&rdquo; in 2015. .",2012,SO
348434,GOT7,"Got7 is a boy band that debuted in 2014 under JYP Entertainment with the EP &ldquo;Got It?&rdquo;. The group has seven members: JB, Mark, Jackson, Jinyoung, Youngjae, BamBam, Yugyeom. The group released their tenth extended play, Call My Name, on November 4, 2019.",2014,SK
239481,MOMOLAND,"Momoland is a South Korean girl group formed by Dublekick Company through the 2016 reality show Finding Momoland. The show’s winners became the group’s seven members who are; Hyebin, Yeonwoo, Jane, Nayun, JooE, Ahin and Nancy. The group formally debuted in 2016 with the EP, “Welcome to Wonderland.” In 2017, the group added two new members, Daisy and Kim Taeha.",2016,SO
240173,Jang Deok Cheol,"Jang Deok Cheol is a ballad group that debuted in January 2015. The group name consists of one letter from each of their members, Jang Jung-hyuk, Deok In and Lim Cheol.",2015,SO
349489,Roy Kim,"Roy Kim (Kim Sang-woo) is a South Korean singer, songwriter and radio presenter. He made his debut in Korea&rsquo;s music industry by winning the popular cable talent competition series Superstar K4. He officially made his debut with the first album Love Love Love in 2013 which was a success. Since his debut, Kim has released three studio albums and participated in original soundtracks for various hit TV series such as Reply 1994.",2012,SO
346585,Chung-ha,"Chungha is a singer best known for finishing fourth on the popular cable girl-group survival show &ldquo;Produce 101&rdquo; and as a member of the program&rsquo;s project group I.O.I. In June 2017, Chungha released her solo debut EP &ldquo;Hands on Me&rdquo; and her 2nd EP was released in January 2018. In July 2018, she made a comeback with her third mini-album titled &ldquo;Blooming Blue.&rdquo; In 2021, Chungha released her first full-length album &ldquo;Querencia&rdquo; with the title track &ldquo;Bicycle&rdquo;.",2016,SO
393692,NCT U,"NCT U is the first sub-unit of the boy group NCT. THe sub-unit does not have fixed members, meaning the lineup keeps changing every time they make a comeback. NCT U debuted on April 9, 2016 under SM Entertainment. In 2020 all 23 members of the group took part in the NCT 2020 Project releasing singles such as &ldquo;Make a Wish (Birthday Song)&rdquo;, &ldquo;From Home&rdquo;, etc.&nbsp;",2016,SK
234452,CNBLUE,"CNBLUE has gained media attention even before it made its debut, because Jeong Yong-hwa, the main vocal and guitarist of the group, has co-starred in a popular TV drama named “You Are Beautiful.” The band’s debut track combines solid beat with catchy melody, completing a punk rock piece that expresses the band’s concept well. In addition to Jeong, there are three more members – guitarist Lee Jong-hyun, drummer Kang Min-hyuk, and rapper Lee Jeong-shin. The name CNBLUE stands for Code Name BLUE and the word “BLUE” represents four concepts – burning, lovely, untouchable, and emotional.",,SO
235201,Block B,"Well-known rapper and producer announced early 2011 that he would be teaming up with some of hip hop's greatest to create a hip hop idol group. Spending $1.4 million USD, fellow rappers Verbal Jint, Skull, and Rhymer all helped to mentor and hone these young boys for a debut in 2011. Each member had plenty of music and entertainment experience to give them an edge over other aspiring singers. For example, Zico, the brother of Co-Ed School's Woo Tae-woon, featured on other songs including IU's ""Marshmallow"". He was also supposed to be the main rapper of SHINee, the position now filled by Choi Min-ho, however he decided to withdraw at the last minute. Tae-il was actually first known for his role in a reality audition program, ""Great Birth"". B-Bomb was actually planning to debut as a member of Infinite, but ended up in Block-B. Jae-hyo had already garnered a following for being considered an ulzzang (or good looking face), having appeared side by side with Song Joong-gi on a cable TV show. He was also previously a trainee for CUBE Entertainment. Park Kyung studied abroad in New Zealand, thus speaking fluent English. Before their official debut though, they had featured on Miss $'s repackaged album for ""Miss Independent"" on the male answer song to ""Over"", titled ""It's Not Over"".    The group was also faced up against fellow idol group B1A4 on a match up show on MTV in late June of 2011. Each group were given challenges to overtake the other, featuring their musical talents and personalities.",,SO
397557,10cm,"10cm is a band that originally consisted of two members Kwon Jung-yeol and Yoon Cheol-jong. In 2017 Yoon left the group citing health concerns, but later admitted to the use of marijuana. Now, 10cm is a one man band with Kwon as the sole member and main vocalist. 10cm debuted with the single &ldquo;Americano&rdquo; in 2010 and released the first official album &ldquo;1.0&rdquo; in 2011.",2010,SO
343790,BTOB,"BTOB (an acronym for Born to Beat) is a South Korean boy band which debuted in 2012 with the EP, &ldquo;Born to Beat&rdquo;. The group&rsquo;s members include Seo Eun-kwang, Lee Min-hyuk, Lee Chang-sub, Im Hyun-sik, Peniel Shin, Jung Il-hoon and Yook Sung-jae. The group&rsquo;s first full-length studio album was released in 2015. BTOB has also made a Japanese debut under Kiss Entertainment in 2014.",2012,SK
