sifra_umetnika,zalozba
352301,SM
343777,Play M
343777,Cube
343777,UMG (EMI)
343790,Cube
386080,SM
386080,Label SJ
365474,Core Contents
365474,Stone
345741,SM
345741,Label SJ
345741,Avex Trax
354121,SM
354121,Avex
354121,Trax
378184,The Music Works
390817,YG
347972,Big Hit
347972,Pony Canyon
347972,Def Jam Japan
347972,Columbia
350612,KakaoM
350612,Universal Music Japan
350612,Warner Music Taiwan
395588,Hook
353617,Rainbow Bridge World
357139,Source Music
403998,Stone Music
399205,P Nation
351688,Starship
393964,YES IM
348434,JYP
361999,SM
354644,Woollim
364940,JYP
364940,Warner Music Japan
364940,Republic
344897,Stardom
367232,Neverland
355065,YG
355157,325 E C
379064,SM
389498,AOMG
362867,Busker Busker
397557,Magic Strawberry Sound
349936,AOMG
348986,YWHO Enterprise The Vibe
345359,Pledis
372941,YG
365887,SM
348488,WM
389341,YG
239348,Shofar Music
391811,WM
404858,P Nation
366246,Starship
366246,Yuehua
403584,Around Us
403584,Cube
404478,NH Media
357627,MNH
346585,MNH
346585,YMC
347055,Makeus
340355,Pledis
368948,Mint Paper/Heaven Company
361195,Woollim
349489,Stone Music
393692,SM
343723,Happy Robot Record
345622,Cube
370622,SM
348337,Y-WHO Enterprise
346001,Neuron Music
351072,Off the Record
351072,Swing
351072,EMI
353582,YG
353593,SM
357840,Indian Label
358460,Indian Label
358962,RBW
358973,JYP
360019,FNC
360357,Big Hit
360357,Republic
359232,Nextar
361183,Peponi Music
361599,Maru
361599,YMC
361599,Swing
362011,SM
366284,SM
366724,Jang Hye-jin (Jellyfish Entertainment)
366724,Yoon Min-soo (Major9)
368552,SM
367651,KakaoM
368849,SM
370828,Swing Entertainment/Stone Music
371700,RBW
372057,Entertainment New Order
380536,RBW
383427,SM
384558,RBW
385755,Studio J
388237,SM
390155,YG
390109,YG
391492,WM
355113,Cre.ker
395837,Belift Lab
395848,NSC Company
